prompt,response
"
I'm trying to build a Flower of Life VR example using A-Frame. 
The closest thing that I found is using the opacity property in <a-circle>. 
Is there a way to create just the border of the circle?
","
Not sure if it fits your use case but you could use a cylinder with a small height:
https://aframe.io/docs/1.0.0/primitives/a-cylinder.html
Or a tube:
https://github.com/donmccurdy/aframe-extras/tree/master/src/primitives
Or just a flat plane with png texture with a circle with transparency
"
"
I am developing a Multiplayer game where a Normal Character Controller User and VR User can participate. So there are two modes of the games through a user can join, 

Normal Mode (Character Controller)
VR Mode (HTC VR headset)

I am able to manage these modes and user can participate with any mode but the problem is Normal Player (character controller) is unable to view VR controller (HTC Vive Controllers) as these objects become turn off on the side of character controller. So how do I show VR controller to the Normal player side that what VR player is doing currently.
(What I have tried) I make an object and tried to imitate its position and rotation with respect to VR controller but it is not working as Imitating source (VR controllers) objects are off (at the normal player side but working in VR mode) and their positions is not changing. How can I show the VR controller to other users in unity3d??
","
I have managed to solve this problem using these  steps after trying hard three four days. These step are given below so that future user don't get stuck in this problem as there are no other comprehensive guide available:

Make one Gameobject for Head (simple cube) with Network Identity and network transform
Make one Gameobject for(right) Controller (simple cube) with Network Identity and network transform
Make one Gameobject for(left) other Controller (simple cube) with network Identity and network transform
Make prefab of all above gameobjects.
Add all three prefabs into Network Manager (registered Spawnable prefabs list)
delete three prefab from scene
Added below script(See comments for details) into my vr player and assign respective prefabs and gameobjects
public class VRPlayerCtrl : NetworkTransform {

//source gameobjects head, left and right controller object of htc vive prefab

public GameObject rightContSource;

public GameObject leftContSource;

public GameObject headObjSource;


//prefabs to assign head, left controller, and right controller
public GameObject vrHeadObjPrefab;
public GameObject vrLeftCtrlPrefab;
public GameObject vrRightCtrlPrefab;

GameObject vrHeadObj;
GameObject vrLeftCtrl;
GameObject vrRightCtrl;

void Start()
{

    Debug.Log(""Start of the vr player"");

    if (isLocalPlayer)
    {
        //instantiate prefabs
        CmdInstantiteHeadAndController();
        //disabled conroller meshes at VR player side so it cannont be view by him
        vrLeftCtrl.GetComponent<MeshRenderer>().enabled = false;
        vrRightCtrl.GetComponent<MeshRenderer>().enabled = false;
    }
}

//Instantiate on start head and vr controller object so that it can be view by normal players
void CmdInstantiteHeadAndController()
{
    Debug.Log(""instantiateing the controller and head object"");
    vrHeadObj = (GameObject)Instantiate(vrHeadObjPrefab);
    vrLeftCtrl = (GameObject)Instantiate(vrLeftCtrlPrefab);
    vrRightCtrl = (GameObject)Instantiate(vrRightCtrlPrefab);

    // spawn the bullet on the clients
    NetworkServer.Spawn(vrHeadObj);
    NetworkServer.Spawn(vrLeftCtrl);
    NetworkServer.Spawn(vrRightCtrl);
}

void Update()
{
    if (!isLocalPlayer)
    {
        return;
    }

    //sync pos on network
    CmdControllerPositionSync();
}
//sync position on VR controller objects so that VR player movemnts/action can be viewd by normal user
[Command]
public void CmdControllerPositionSync()
{

    vrHeadObj.transform.localRotation = headObjSource.transform.localRotation;
    vrHeadObj.transform.position = headObjSource.transform.position;
    vrLeftCtrl.transform.localRotation = leftContSource.transform.localRotation;
    vrRightCtrl.transform.localRotation = rightContSource.transform.localRotation;
    vrLeftCtrl.transform.localPosition = leftContSource.transform.position;
    vrRightCtrl.transform.localPosition = rightContSource.transform.position;
}

}


congrats you have done!
"
"
In android Chrome 80, when the WebXR device API flag is disabled, I expect the Webxr polyfill should play the VR output. But the content is flickering and I am not able to hit any object in VR world. Any idea why this is happening?
If the WebXR device API flag is enabled, I am getting the output correctly. I included the webxr polyfill (https://github.com/immersive-web/webxr-polyfill) , but not sure whether it is working or not. How to check whether polyfill is giving the correct output? Do we need to build the WebXR Polyfill separately to support chrome 80?
","
I fixed this issue by setting the preserverDrawingBuffer flag to true while creating the renderer https://threejs.org/docs/#api/en/renderers/WebGLRenderer.preserveDrawingBuffer 
"
"
Can someone who understands stereo rendering give an explanation of what each of these functions is doing to create the VR stereo effect. There's little to no documentation on functions like StereoCamera(), setScissor(), setViewPort() in the three.js library. 
I would greatly appreciate any sort of high/low-level explanation. 
Also, a bug I'm having is when I try to change the eyeSep value it has no effect on the final render.  
/**
 * @author alteredq / http://alteredqualia.com/
 * @authod mrdoob / http://mrdoob.com/
 * @authod arodic / http://aleksandarrodic.com/
 * @authod fonserbc / http://fonserbc.github.io/
*/

THREE.StereoEffect = function ( renderer ) {

    var _stereo = new THREE.StereoCamera();
    _stereo.aspect = 0.5;
    var size = new THREE.Vector2();

    this.setEyeSeparation = function ( eyeSep ) {

        _stereo.eyeSep = eyeSep;

    };

    this.setSize = function ( width, height ) {

        renderer.setSize( width, height );

    };

    this.render = function ( scene, camera ) {

        scene.updateMatrixWorld();

        if ( camera.parent === null ) camera.updateMatrixWorld();

        _stereo.update( camera );

        renderer.getSize( size );

        if ( renderer.autoClear ) renderer.clear();
        renderer.setScissorTest( true );

        renderer.setScissor( 0, 0, size.width / 2, size.height );
        renderer.setViewport( 0, 0, size.width / 2, size.height );
        renderer.render( scene, _stereo.cameraL );

        renderer.setScissor( size.width / 2, 0, size.width / 2, size.height );
        renderer.setViewport( size.width / 2, 0, size.width / 2, size.height );
        renderer.render( scene, _stereo.cameraR );

        renderer.setScissorTest( false );

    };

};

module.exports = THREE.StereoEffect;

","
setScissor and setViewport
set the area of the canvas to render to. More specifically setViewport sets how to convert from a shader's clip space to some portion of the canvas's pixel space and setScissor sets a rectangle outside of which nothing can be rendered.
See this. 
Otherwise StereoCamera just provides 2 cameras that are eyeSep apart so you only have to manipulate one camera, the PerspectiveCamera then you update the StereoCamera and it will automatically update the 2 eye cameras you can use for rendering.


body { margin: 0; }
#c { width: 100vw; height: 100vh; display: block; }
#ui { position: absolute; left: 1em; top: 1em; }
<canvas id=""c""></canvas>
<script type=""module"">
import * as THREE from 'https://threejsfundamentals.org/threejs/resources/threejs/r115/build/three.module.js';
import {GUI} from 'https://threejsfundamentals.org/threejs/../3rdparty/dat.gui.module.js';

function main() {
  const canvas = document.querySelector('#c');
  const renderer = new THREE.WebGLRenderer({canvas});

  const fov = 75;
  const aspect = 2;  // the canvas default
  const near = 0.1;
  const far = 5;
  const camera = new THREE.PerspectiveCamera(fov, aspect, near, far);
  camera.position.z = 2;
  
  const stereo = new THREE.StereoCamera();

  const gui = new GUI();
  gui.add(stereo, 'eyeSep', 0, 2, 0.001);

  const scene = new THREE.Scene();

  {
    const color = 0xFFFFFF;
    const intensity = 1;
    const light = new THREE.DirectionalLight(color, intensity);
    light.position.set(-1, 2, 4);
    scene.add(light);
  }

  const geometry = new THREE.SphereBufferGeometry(0.5, 6, 3);

  function makeInstance(geometry, color, x) {
    const material = new THREE.MeshPhongMaterial({color, flatShading: true});

    const cube = new THREE.Mesh(geometry, material);
    scene.add(cube);

    cube.position.x = x;

    return cube;
  }

  const cubes = [
    makeInstance(geometry, 0x44aa88,  0),
    makeInstance(geometry, 0x8844aa, -1),
    makeInstance(geometry, 0xaa8844,  1),
  ];

  function resizeRendererToDisplaySize(renderer) {
    const canvas = renderer.domElement;
    const width = canvas.clientWidth;
    const height = canvas.clientHeight;
    const needResize = canvas.width !== width || canvas.height !== height;
    if (needResize) {
      renderer.setSize(width, height, false);
    }
    return needResize;
  }

  function render(time) {
    time *= 0.001;

    if (resizeRendererToDisplaySize(renderer)) {
      const canvas = renderer.domElement;
      camera.aspect = canvas.clientWidth / canvas.clientHeight / 2;  
      camera.updateProjectionMatrix();
    }

    cubes.forEach((cube, ndx) => {
      const speed = 1 + ndx * .1;
      const rot = time * speed;
      cube.rotation.x = rot;
      cube.rotation.y = rot;
    });

    {
        // we need to manually update camera matrix
        // because it will not be passed directly to
        // renderer.render were it would normally be
        // updated

        camera.updateWorldMatrix();
        stereo.update(camera);

        const size = new THREE.Vector2();
        renderer.getSize(size);

        renderer.setScissorTest(true);

        renderer.setScissor(0, 0, size.width / 2, size.height);
        renderer.setViewport(0, 0, size.width / 2, size.height);
        renderer.render(scene, stereo.cameraL);

        renderer.setScissor(size.width / 2, 0, size.width / 2, size.height);
        renderer.setViewport(size.width / 2, 0, size.width / 2, size.height);
        renderer.render(scene, stereo.cameraR);

        renderer.setScissorTest(false);
    }

    requestAnimationFrame(render);
  }

  requestAnimationFrame(render);
}

main();
</script>



"
"
Working on a Unity hybrid VR (cardboard) /2D app. The cardboard side of it works fine. I am having trouble with the 2D/VR switching.
When I am in 2D mode, reticle does not move, although screen taps register. So the app seems unaware of the gyro.
I feel like I am missing something fundamental here. I have a GvrEventSystem prefab that has both an EventSystem and GvrPointerInputModule components.
What obvious thing am I over-looking?
ETA:
I have been asked to add relevant code.  Here is the code for 2D-VR switching on-the-fly.  This code executes w/out error, and the app switches between VR and 2D mode every 3 seconds:
  readonly string NONE_STRING = """";
  readonly string CARDBOARD_STRING = ""cardboard"";

  void Start()
  {
    Invoke(""GoPhone"", 3.0f);
  }

  void GoPhone()
  {
    SetVREnabled(false);
    Invoke(""GoVR"", 3.0f);
  }

  void GoVR()
  {
    SetVREnabled(true);
    Invoke(""GoPhone"", 3.0f);
  }

  void SetVREnabled(bool isEnabled)
  {
    if (isEnabled)
    {
      StartCoroutine(LoadDevice(CARDBOARD_STRING));
    }
    else
    {
      StartCoroutine(LoadDevice(NONE_STRING));
    }
  }

  IEnumerator LoadDevice(string newDevice)
  {
    if (String.Compare(XRSettings.loadedDeviceName, newDevice, true) != 0)
    {
      XRSettings.LoadDeviceByName(newDevice);

      yield return null;

      if (!XRSettings.loadedDeviceName.Equals(NONE_STRING))
        XRSettings.enabled = true;
    }
  }

Although I feel like my problem is a configuration problem, and not a code problem.  In the editor, which does not support VR mode, the app behaves in 2D mode as expected.
Also ETA:


JIC
","
User error!  I did not follow the ""Magic Window"" instructions as detailed at https://developers.google.com/vr/develop/unity/guides/magic-window... let my folly be a warning to future generations!
"
"
I need some help about VR camera which VR SDK is best and support all Device like(Mixed Reality, Oculus Rift and HTC Vive).any idea quick..
","
If you want to build an VR-Application for Desktop-VR (like Oculus, WMR, Vive), you can just roll with SteamVR which supports them all.
"
"
I'm building a VR/AR calendar in Unity, and looking for the easiest way to read calendar event data from Google and Facebook (let's just start with Google).  I've tried using the Google Calendar C# API, but Unity doesn't support .NET 4.0 or above (Google Calendar API only works with .NET 4.0 and above). Unity does have a .NET 4.6 Experimental version, but in Visual Studio after installing Google.Apis.Auth etc and other packages needed in PuTTY package manager the C# code would still not recognize the imported packages below:
using Google.Apis.Auth.OAuth2;
using Google.Apis.Calendar.v3;
using Google.Apis.Calendar.v3.Data;
using Google.Apis.Services;
using Google.Apis.Util.Store;

So next I tried a different approach: I tried installing the Unity Firebase plugin.  It only works for iOS and Android for now, so I started a new project just to start clean.  There are only a few YouTube videos about Firebase in Unity in general, and they don't get into Google Auth, just Google Analytics and regular plain email/password, so it's been trial and error for a few weeks now. I feel like this guy, except I'm not working with a FitBit, and I don't have it figured out. Does anybody have insight on how to go about this?
More important question: If I were to get Google Auth working through Firebase in Unity, how would I go about pulling the Google Calendar event data associated with that account? Would that be back through the C# script? 
Is there another way all together that I'm probably missing? Thanks for any help!
","
To clarify your question. The Google Calendar API supports any language that can send HTTP POST and HTTP Gets.   The Google .net client library currently requires a min of .net 4.5 to run.   There is currently no support in the library for unity there is an issue here which states that we will probably not support it.
That being said you can still add google calendar to your project you will just have to code your own library for it.
"
"
I am currently trying to get my project in Oculus Quest working using the Lightweight Render Pipeline. I am using VRTK4 and UnityXRCameraRig for my VR cam.
However, since I got the render pipeline the right eye is distorted (has a different setting), and I cannot change it's setting. Here are the settings:
LWRP:

HeadAnchor (UnityXRCameraRig):

Virtual Reality Settings:

Any idea how to work around this issue using the UnityXRCameraRig prefab?
","
Solved it by upgrading to the newest version of Unity (2019.3.2f1)
"
"
So, I've tried this code here and it always spawns an object in front of the player every n-seconds (other function in Update() )
  private void SpawnTarget(int prefabIndex = -1)
    {
        GameObject target;
        target = Instantiate(targetPrefabs[0]) as GameObject;
        target.transform.SetParent(transform);
        target.transform.position = Vector3.forward * 3;
        activeTarget.Add(target);
    }

Now, I'm trying to randomize the place where it spawns, so that it's not always on the same X and Y coordinates (so it moves around the screen). I've tried the following, which does move the GameObject randomly in X and Y every n-seconds, but it does not follow the player's Z axis anymore, i.e., if the player moves past the target, now it keeps respawning behind the player.
  private void SpawnTarget(int prefabIndex = -1)
    {
        GameObject target;
        target = Instantiate(targetPrefabs[0]) as GameObject;
        target.transform.SetParent(transform);
        target.transform.position = target.transform.position + new Vector3(Random.Range(-1.0f, 1.0f), Random.Range(-1.0f, 1.0f), 3.0f);
        activeTarget.Add(target);
    }

Alternatively (also same behavior):
  private Vector3 newVector;
  private void SpawnTarget(int prefabIndex = -1)
    {
        GameObject target;
        target = Instantiate(targetPrefabs[0]) as GameObject;
        target.transform.SetParent(transform);
        newVector = new Vector3(Random.Range(-1.0f, 1.0f), Random.Range(-1.0f, 1.0f), 3.0f);
        target.transform.position = target.transform.position + newVector;
        activeTarget.Add(target);
    }

I feel like I'm missing something very basic and very stupid here.
","
what you want is to spawn the prefab at a set position from the player. But you're spawning it in world coordinates.
One solution is to parent the prefabs to the parent when you spawn them, and set their local position, not world position to the desired spot.
But parenting things to the player is bad news, especially in VR. Trust me.
A better solution would be to store a Vector3 that is the relative location from the player, and then set the prefab's position to that every frame. Something like this.
public class SpawnedPrefab : MonoBehaviour {
// this is the position in the player's local space. 
// In your example, random x and y, and z =3
Vector3 positionRelativeToPlayer; 

Transform player;

void Update() {
    this.transform.position = player.TransformPoint(positionRelativeToPlayer);
}

}
TransformFrom point takes a point in local space and figures out what it would be in world space.
https://docs.unity3d.com/ScriptReference/Transform.TransformPoint.html
"
"
Ok Im trying to do a standard blur material like this (the darkened beat saber menu)

Or 
But on a 3D object, so not a camera effect or canvas material. I found some assets that provide a low quality blur but I need it glossy, and a nice Gaussian blur. The one I have has weird streaks:

// Upgrade NOTE: replaced 'mul(UNITY_MATRIX_MVP,)' with 'UnityObjectToClipPos()'
Shader ""Custom/WaterBlur"" {
    Properties {
    _blurSizeXY(""BlurSizeXY"", Range(0,10)) = 0
}
    SubShader {

        // Draw ourselves after all opaque geometry
        Tags { ""Queue"" = ""Transparent"" }

        // Grab the screen behind the object into _GrabTexture
        GrabPass { }

        // Render the object with the texture generated above
        Pass {


CGPROGRAM
#pragma debug
#pragma vertex vert
#pragma fragment frag 
#ifndef SHADER_API_D3D11

    #pragma target 3.0

#else

    #pragma target 4.0

#endif

            sampler2D _GrabTexture : register(s0);
            float _blurSizeXY;

struct data {

    float4 vertex : POSITION;

    float3 normal : NORMAL;

};



struct v2f {

    float4 position : POSITION;

    float4 screenPos : TEXCOORD0;

};



v2f vert(data i){

    v2f o;

    o.position = UnityObjectToClipPos(i.vertex);

    o.screenPos = o.position;

    return o;

}



half4 frag( v2f i ) : COLOR

{

    float2 screenPos = i.screenPos.xy / i.screenPos.w;
    float depth= _blurSizeXY*0.0005;

    screenPos.x = (screenPos.x + 1) * 0.5;

    screenPos.y = 1-(screenPos.y + 1) * 0.5;

    half4 sum = half4(0.0h,0.0h,0.0h,0.0h);   
    sum += tex2D( _GrabTexture, float2(screenPos.x-5.0 * depth, screenPos.y+5.0 * depth)) * 0.025;    
    sum += tex2D( _GrabTexture, float2(screenPos.x+5.0 * depth, screenPos.y-5.0 * depth)) * 0.025;

    sum += tex2D( _GrabTexture, float2(screenPos.x-4.0 * depth, screenPos.y+4.0 * depth)) * 0.05;
    sum += tex2D( _GrabTexture, float2(screenPos.x+4.0 * depth, screenPos.y-4.0 * depth)) * 0.05;


    sum += tex2D( _GrabTexture, float2(screenPos.x-3.0 * depth, screenPos.y+3.0 * depth)) * 0.09;
    sum += tex2D( _GrabTexture, float2(screenPos.x+3.0 * depth, screenPos.y-3.0 * depth)) * 0.09;

    sum += tex2D( _GrabTexture, float2(screenPos.x-2.0 * depth, screenPos.y+2.0 * depth)) * 0.12;
    sum += tex2D( _GrabTexture, float2(screenPos.x+2.0 * depth, screenPos.y-2.0 * depth)) * 0.12;

    sum += tex2D( _GrabTexture, float2(screenPos.x-1.0 * depth, screenPos.y+1.0 * depth)) *  0.15;
    sum += tex2D( _GrabTexture, float2(screenPos.x+1.0 * depth, screenPos.y-1.0 * depth)) *  0.15;



    sum += tex2D( _GrabTexture, screenPos-5.0 * depth) * 0.025;    
    sum += tex2D( _GrabTexture, screenPos-4.0 * depth) * 0.05;
    sum += tex2D( _GrabTexture, screenPos-3.0 * depth) * 0.09;
    sum += tex2D( _GrabTexture, screenPos-2.0 * depth) * 0.12;
    sum += tex2D( _GrabTexture, screenPos-1.0 * depth) * 0.15;    
    sum += tex2D( _GrabTexture, screenPos) * 0.16; 
    sum += tex2D( _GrabTexture, screenPos+5.0 * depth) * 0.15;
    sum += tex2D( _GrabTexture, screenPos+4.0 * depth) * 0.12;
    sum += tex2D( _GrabTexture, screenPos+3.0 * depth) * 0.09;
    sum += tex2D( _GrabTexture, screenPos+2.0 * depth) * 0.05;
    sum += tex2D( _GrabTexture, screenPos+1.0 * depth) * 0.025;

    return sum/2;

}
ENDCG
        }
    }

Fallback Off
} 

How can I accomplish a glossy, or even just a highqaulity gaussian blur material for a mesh?
","
If you want to include a gloss onto your surface, here is one way to do it, based on the shader in the Glossy Textures article in the Unity Community wiki copied below:

Shader ""Cg per-pixel lighting with texture"" {
   Properties {
      _MainTex (""RGBA Texture For Material Color"", 2D) = ""white"" {} 
      _Color (""Diffuse Material Color"", Color) = (1,1,1,1) 
      _SpecColor (""Specular Material Color"", Color) = (1,1,1,1) 
      _Shininess (""Shininess"", Float) = 10
   }
   SubShader {
      Pass {    
         Tags { ""LightMode"" = ""ForwardBase"" } 
            // pass for ambient light and first light source

         CGPROGRAM

         #pragma vertex vert  
         #pragma fragment frag 

         #include ""UnityCG.cginc""
         uniform float4 _LightColor0; 
            // color of light source (from ""Lighting.cginc"")

         // User-specified properties
         uniform sampler2D _MainTex;    
         uniform float4 _Color; 
         uniform float4 _SpecColor; 
         uniform float _Shininess;

         struct vertexInput {
            float4 vertex : POSITION;
            float3 normal : NORMAL;
            float4 texcoord : TEXCOORD0;
        };
         struct vertexOutput {
            float4 pos : SV_POSITION;
            float4 posWorld : TEXCOORD0;
            float3 normalDir : TEXCOORD1;
            float4 tex : TEXCOORD2;
        };

         vertexOutput vert(vertexInput input) 
         {
            vertexOutput output;

            float4x4 modelMatrix = unity_ObjectToWorld;
            float4x4 modelMatrixInverse = unity_WorldToObject;

            output.posWorld = mul(modelMatrix, input.vertex);
            output.normalDir = normalize(
               mul(float4(input.normal, 0.0), modelMatrixInverse).xyz);
            output.tex = input.texcoord;
            output.pos = mul(UNITY_MATRIX_MVP, input.vertex);
            return output;
         }

         float4 frag(vertexOutput input) : COLOR
         {
            float3 normalDirection = normalize(input.normalDir);

            float3 viewDirection = normalize(
               _WorldSpaceCameraPos - input.posWorld.xyz);
            float3 lightDirection;
            float attenuation;

            float4 textureColor = tex2D(_MainTex, input.tex.xy);

            if (0.0 == _WorldSpaceLightPos0.w) // directional light?
            {
               attenuation = 1.0; // no attenuation
               lightDirection = 
                  normalize(_WorldSpaceLightPos0.xyz);
            } 
            else // point or spot light
            {
               float3 vertexToLightSource = 
                  _WorldSpaceLightPos0.xyz - input.posWorld.xyz;
               float distance = length(vertexToLightSource);
               attenuation = 1.0 / distance; // linear attenuation 
               lightDirection = normalize(vertexToLightSource);
            }

            float3 ambientLighting = textureColor.rgb  
               * UNITY_LIGHTMODEL_AMBIENT.rgb * _Color.rgb;

            float3 diffuseReflection = textureColor.rgb  
               * attenuation * _LightColor0.rgb * _Color.rgb
               * max(0.0, dot(normalDirection, lightDirection));

            float3 specularReflection;
            if (dot(normalDirection, lightDirection) < 0.0) 
               // light source on the wrong side?
            {
               specularReflection = float3(0.0, 0.0, 0.0); 
                  // no specular reflection
            }
            else // light source on the right side
            {
               specularReflection = attenuation * _LightColor0.rgb 
                  * _SpecColor.rgb * (1.0 - textureColor.a) 
                     // for usual gloss maps: ""... * textureColor.a"" 
                  * pow(max(0.0, dot(
                  reflect(-lightDirection, normalDirection), 
                  viewDirection)), _Shininess);
            }

            return float4(ambientLighting + diffuseReflection 
               + specularReflection, 1.0);
         }

         ENDCG
      }

      Pass {    
         Tags { ""LightMode"" = ""ForwardAdd"" } 
            // pass for additional light sources
         Blend One One // additive blending 

          CGPROGRAM

         #pragma vertex vert  
         #pragma fragment frag 

         #include ""UnityCG.cginc""
         uniform float4 _LightColor0; 
            // color of light source (from ""Lighting.cginc"")

         // User-specified properties
         uniform sampler2D _MainTex;    
         uniform float4 _Color; 
         uniform float4 _SpecColor; 
         uniform float _Shininess;

        struct vertexInput {
            float4 vertex : POSITION;
            float3 normal : NORMAL;
            float4 texcoord : TEXCOORD0;
        };
         struct vertexOutput {
            float4 pos : SV_POSITION;
            float4 posWorld : TEXCOORD0;
            float3 normalDir : TEXCOORD1;
            float4 tex : TEXCOORD2;
        };

         vertexOutput vert(vertexInput input) 
         {
            vertexOutput output;

            float4x4 modelMatrix = unity_ObjectToWorld;
            float4x4 modelMatrixInverse = unity_WorldToObject;

            output.posWorld = mul(modelMatrix, input.vertex);
            output.normalDir = normalize(
               mul(float4(input.normal, 0.0), modelMatrixInverse).xyz);
            output.tex = input.texcoord;
            output.pos = mul(UNITY_MATRIX_MVP, input.vertex);
            return output;
         }

         float4 frag(vertexOutput input) : COLOR
         {
            float3 normalDirection = normalize(input.normalDir);

            float3 viewDirection = normalize(
               _WorldSpaceCameraPos - input.posWorld.xyz);
            float3 lightDirection;
            float attenuation;

            float4 textureColor = tex2D(_MainTex, input.tex.xy);

            if (0.0 == _WorldSpaceLightPos0.w) // directional light?
            {
               attenuation = 1.0; // no attenuation
               lightDirection = 
                  normalize(_WorldSpaceLightPos0.xyz);
            } 
            else // point or spot light
            {
               float3 vertexToLightSource = 
                  _WorldSpaceLightPos0.xyz - input.posWorld.xyz;
               float distance = length(vertexToLightSource);
               attenuation = 1.0 / distance; // linear attenuation 
               lightDirection = normalize(vertexToLightSource);
            }

            float3 diffuseReflection = textureColor.rgb  
               * attenuation * _LightColor0.rgb * _Color.rgb
               * max(0.0, dot(normalDirection, lightDirection));

            float3 specularReflection;
            if (dot(normalDirection, lightDirection) < 0.0) 
               // light source on the wrong side?
            {
               specularReflection = float3(0.0, 0.0, 0.0); 
                  // no specular reflection
            }
            else // light source on the right side
            {
               specularReflection = attenuation * _LightColor0.rgb 
                  * _SpecColor.rgb * (1.0 - textureColor.a) 
                     // for usual gloss maps: ""... * textureColor.a"" 
                  * pow(max(0.0, dot(
                  reflect(-lightDirection, normalDirection), 
                  viewDirection)), _Shininess);
            }

            return float4(diffuseReflection 
               + specularReflection, 1.0);
               // no ambient lighting in this pass
         }

         ENDCG
      }
   }
   Fallback ""Specular""
}


The final Pass of your blur shader will need to be merged into the first and second Passes in the above shader.
Shader Properties
Add these properties in the blur shader if they don't already exist (you may need to rename things if they do):
  _MainTex (""RGBA Texture For Material Color"", 2D) = ""white"" {} 
  _Color (""Diffuse Material Color"", Color) = (1,1,1,1) 
  _SpecColor (""Specular Material Color"", Color) = (1,1,1,1) 
  _Shininess (""Shininess"", Float) = 10

The first gloss pass
Set the tag to match the glossy shader: ""LightMode"" = ""ForwardBase"" 
Add these variables to the pass if they don't already exist (you may need to rename things if they do):
 uniform sampler2D _MainTex; 
 uniform float4 _Color; 
 uniform float4 _SpecColor; 
 uniform float _Shininess;

Include float3 normal : NORMAL; in your vertex input structure.
Include float4 posWorld : TEXCOORD0; and float3 normalDir : TEXCOORD1; in your vertex output structure. 
In the vert function, set output.posWorld and output.normalDir the same way the glossy shader vert does.  
Then, in the frag function, take what your blur shader is already returning, and instead of returning it, use it as the textureColor variable in the 1st frag function in the glossy shader, and then do the rest of the 1st glossy frag.
You will probably have to rename other things in the code to make it work with the pass you already have. I don't know what your blur shader looks like, so it's impossible for me to list every step in merging the two passes together.
The second gloss pass
Repeat the same process as the first gloss Pass, but using the code from the 2nd gloss Pass (especially important is the different tag ""LightMode"" = ""ForwardAdd"")
"
"
I'm trying to add PUN2 support to a simple Oculus starter scene (cubes on a table). I was able to run the official Avatar synchronization on top of my basic Photon2 setup.
This is the current sequence:

Player 1 ( P1 - the one using Quest) creates the room and joins it
Player 2 (P2 - the one using Unity Player) joins the room
Player 1 grabs a cube and moves it around

P2 sees the cube moving normally if P1 just drags it horizontally, but if he tries to lift it from the table the cube seems acting crazy from P2 point of view.
It looks like the cube fights with gravity but I'm not totally sure what is going on. You can see an example in this video where there is an alternation between horizontal drag and lifting from the table: https://gofile.io/?c=A9PN41
If I disable gravity on the cube it seems working fine (although the interpolation a bit slow compared to how P1 is moving the object): https://gofile.io/?c=jM4qEE
The point is that I cannot have cubes flying around the scene :)
Using Unity 2019.1 / PUN2 / Oculus Quest
","
For the records, I found out what is the problem but still working on a complete solution. When P1 manipulates an object (kept in sync across clients using Photon Transform View), P2 sees the cube trying to synchronize its position/rotation while fighting against gravity (creating that weird jumpy behavior). 
After an extensive I research I found out a possible approach which could solve the problem:

Add a Photon Rigid Body View (sync velocity and angular velocity)
Add an RPC (activated during manipulation) which:


Disables gravity
Enables isKinematic
Transfer ownership to the Player which is manipulating the object.


This needs to be fully tested on both clients (Master/Normal), but so far the results seem promising.
"
"
I'm working on a Unity VR framework which I'd like to have enable VR for a project as soon as the package is added. I've done some research on how to change the project settings in an editor script, but I can't find this setting anywhere in the files. This setting is found in the editor as:
Edit->Project Settings->Player->XR Settings->Virtual Reality Supported
I tried finding it in the project settings files by opening all of them in Notepad++, changing the setting in the Unity editor, and checking Notepad++ for which file it said had been changed externally. None of them were, so I'm under the impression that this setting in the editor isn't located in the project settings folder, so I have no idea what that little checkbox actually does. How can I enable VR support for the project from code?
","
Please try
PlayerSettings.virtualRealitySupported = true;

(While I didn't see this in Unity's PlayerSettings docs, I remembered the Oculus VR plugin did similar, so I dug there.)
"
"
Hello I am new to aframe and I am creating a component where when I click on a plane some animation occurs and color of plane change. It is a very simple learning application, but I see that animation__complete is fired multiple times 1st time for 1 time second time twice and so on I do not understand what an I doing wrong I have attached the log of the file here link to project is https://glitch.com/~amethyst-lamprey-mltmsu585o also this is my first time posting question on stack overflow
Console log output:
about to emit fadein

(index):43 fadeincompleted

(index):35 about to emit fadein

2(index):43 fadeincompleted

(index):35 about to emit fadein

3(index):43 fadeincompleted

(index):35 about to emit fadein

4(index):43 fadeincompleted

(index):35 about to emit fadein

5(index):43 fadeincompleted

(index):35 about to emit fadein

6(index):43 fadeincompleted

Console log image:

","
It's a jQuery usage issue. Your code is adding new event listeners each time the user clicks resulting in animations triggered multiple times. Move the code below outside of the click handler so it runs only once per animationcomplete__fadein event.
$(loading_sky).on(""animationcomplete__fadein"",()=>{
   console.log(""fadeincompleted"");
   el.setAttribute(""color"",""#""+(Math.floor(100000 + Math. random() * 900000) ).toString());
   $.each(scene,(i,e)=>{ e.emit(""fadein""); });
   setTimeout(()=>{loading_sky.emit(""loadfadeout"")},1100)});
 });

Corrected glitch
"
"
I'm using the following code to perform a raycast and detect the GameObjects that are hit:
var eventDataCurrentPosition = new PointerEventData(EventSystem.current);
eventDataCurrentPosition.position = screenPosition;
var results = new List<RaycastResult>();
EventSystem.current.RaycastAll(eventDataCurrentPosition, results);

However, I want only certain objects to be hit by the EventSystem.current.RaycastAll. Is there any way to allow only certain GameObjects to receive the raycast?
","
Two ways, one you can separate each UI categories to different Canvases and raycast from different graphicRaycaster component every time your need changes.
Or, I think the graphicRaycaster and EventSystem.current.RaycastAl both return an array of all UI objects hit, so why not just filter out manually by script based on their tags or so.
"
